GEOID,NAME,Households,Poverty,Median,Mean,Desert
47037014200,142,734,35.1,16071,32958,FALSE
47037019300,193,1803,24,23056,52736,FALSE
47037016000,160,1242,23.4,23678,57717,FALSE
47037010904,109.04,1395,23.1,38940,48716,TRUE
47037019004,190.04,1480,19.6,43631,57863,FALSE
47037014800,148,524,18.1,17143,21898,FALSE
47037015632,156.32,2122,17.6,51514,66036,FALSE
47037012801,128.01,2295,17.3,36444,63166,TRUE
47037016500,165,683,16.7,57358,69593,FALSE
47037016200,162,1548,15.8,29839,95297,FALSE
47037018905,189.05,1451,15.2,54625,81239,TRUE
47037019501,195.01,1820,14.5,64237,103190,FALSE
47037015900,159,1262,14.2,26062,45083,FALSE
47037014400,144,1716,13.9,55444,66466,FALSE
47037019108,191.08,1180,13.8,39147,53249,FALSE
47037013600,136,1803,13.7,37394,46976,FALSE
47037016600,166,2262,13.4,57152,74560,FALSE
47037019401,194.01,1865,13.1,63274,93954,FALSE
47037015804,158.04,2152,12.6,55310,60383,FALSE
47037010303,103.03,2567,11.5,57026,62586,FALSE
47037019105,191.05,1955,11.4,61793,66650,FALSE
47037012802,128.02,1216,10.9,59167,70484,TRUE
47037015618,156.18,2737,10.6,64290,78002,FALSE
47037012702,127.02,1161,10.5,65208,71651,TRUE
47037010702,107.02,1654,10.3,34278,65354,FALSE
47037011700,117,2580,10.3,77656,94730,FALSE
47037012701,127.01,2488,9.9,44907,52927,TRUE
47037015502,155.02,2226,9.7,59565,71900,TRUE
47037015615,156.15,1582,9.5,55988,61675,FALSE
47037018303,183.03,2431,9.4,57804,85321,FALSE
47037019008,190.08,1893,9.4,54194,61653,FALSE
47037010106,101.06,1133,9.1,78594,89825,FALSE
47037019116,191.16,3187,9,87307,107392,FALSE
47037011300,113,2292,8.9,69905,85212,FALSE
47037015805,158.05,1189,8.7,46302,63163,FALSE
47037017402,174.02,2345,8.7,68236,81855,FALSE
47037018205,182.05,1828,8.6,91042,139048,FALSE
47037019503,195.03,2334,8.6,104216,128889,FALSE
47037019003,190.03,1451,8.5,41250,51994,FALSE
47037018101,181.01,2280,8.2,45227,80565,FALSE
47037019110,191.1,1190,8,62188,71394,FALSE
47037015629,156.29,2549,7.7,54675,60541,FALSE
47037013500,135,1216,7.6,98750,116236,FALSE
47037015620,156.2,2707,7.6,62472,68040,FALSE
47037010202,102.02,1640,7.4,95063,115297,FALSE
47037010802,108.02,1765,7.4,55071,73118,FALSE
47037018204,182.04,1760,7.3,45742,64013,FALSE
47037014300,143,685,7.2,46676,61478,TRUE
47037017901,179.01,2628,7.2,114735,199804,FALSE
47037013900,139,661,7.1,43558,59837,FALSE
47037011800,118,1180,6.9,79936,114386,FALSE
47037011900,119,1367,6.9,59606,79790,FALSE
47037016400,164,1270,6.9,48556,72659,FALSE
47037015806,158.06,1713,6.8,44456,52244,FALSE
47037016100,161,1239,6.8,51018,83366,FALSE
47037019502,195.02,2816,6.7,76652,110446,FALSE
47037018000,180,2628,6.4,146190,215528,FALSE
47037017100,171,2105,6.3,89139,156632,FALSE
47037015634,156.34,3959,6.2,80250,86175,FALSE
47037015626,156.26,2933,6,57871,68734,FALSE
47037013201,132.01,1299,5.9,58599,77182,FALSE
47037017401,174.01,904,5.9,59904,79570,FALSE
47037013702,137.02,1867,5.8,61914,109334,FALSE
